name,source,link,description,full_description
Informance,Roberta Tassi,http://www.servicedesigntools.org/tools/33,"The mise en scène of the information is called informance. It means representing an idea by acting in order to tell, explain and share it.","The mise en scène of the information is called informance. It means representing an idea by acting in order to tell, explain and share it."
Innovation Jams,Australian Govt,http://innovation.govspace.gov.au/tools/innovation-jams/,Innovation jams are focused online brainstorming sessions that can be scaled to include as many participants as needed.,Innovation jams are focused online brainstorming sessions that can be scaled to include as many participants as needed.
Innovation Roles checklist,Australian Govt,http://innovation.govspace.gov.au/tools/innovation-roles/,Innovation roles are formal or semi-formal positions/functions within an organisation that are recognised as helping the innovation process.,Innovation roles are formal or semi-formal positions/functions within an organisation that are recognised as helping the innovation process.
Innovation Teams checklist,Australian Govt,http://innovation.govspace.gov.au/tools/innovation-values/,"Innovation can be complex or daunting at times. It can be difficult for an existing team or individual to undertake an innovation at the same time as doing their regular work. Innovation teams can assist by providing support and guidance, just as many agencies have teams that provide advice on procurement.","Innovation can be complex or daunting at times. It can be difficult for an existing team or individual to undertake an innovation at the same time as doing their regular work. Innovation teams can assist by providing support and guidance, just as many agencies have teams that provide advice on procurement."
Innovation Tournaments,Australian Govt,http://innovation.govspace.gov.au/tools/innovation-tournaments/,Innovation Tournaments are an option to agencies for filtering ideas.,Innovation Tournaments are an option to agencies for filtering ideas.
Innovation Values checklist,Australian Govt,http://innovation.govspace.gov.au/tools/innovation-values/,Innovation values are principles that embody an organisation’s attitudes and beliefs about innovation. They can underpin an organisation’s approach to the innovation process and express what the organisation ‘feels’ towards innovation. Some organisations choose to formalise these values in written form.,Innovation values are principles that embody an organisation’s attitudes and beliefs about innovation. They can underpin an organisation’s approach to the innovation process and express what the organisation ‘feels’ towards innovation. Some organisations choose to formalise these values in written form.
Insight cards,MJV,http://designthinkingbook.in/wp-content/uploads/LearnByDoing_InsightCard2.pdf,Learn to organize and synthesize in an efficient way the great amount of information that results from a survey.,Learn to organize and synthesize in an efficient way the great amount of information that results from a survey.
Insights blogs,roselfeld - Book,http://rosenfeldmedia.com/books/service-design/,A blog is esential for larger insights research projects and for when a client needs insights feedback quickly,A blog is esential for larger insights research projects and for when a client needs insights feedback quickly
Insights boards,Roselfeld - Book,http://rosenfeldmedia.com/books/service-design/,Can be used to present insights based on real peopla who have been interviewed as an alternative to using fabricated personas,Can be used to present insights based on real peopla who have been interviewed as an alternative to using fabricated personas
institutiogramme,MDF Training and Consultancy,http://assets.sportanddev.org/downloads/institutiogramme.pdf,"An institutiogramme is a visualisation of the relations between actors active in a certain field of analysis (sector, geographical area, etc.). It helps to identify the relevant actors in the institutional environment, and depict their relations, leading to conclusions on good relations and forms of collaboration and co-ordination that require improvement or that need to be newly established.","An institutiogramme is a visualisation of the relations between actors active in a certain field of analysis (sector, geographical area, etc.). It helps to identify the relevant actors in the institutional environment, and depict their relations, leading to conclusions on good relations and forms of collaboration and co-ordination that require improvement or that need to be newly established."
Institutional Sector Analysis (ISA) Checklist,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,a short list of questions to get an impression concerning the sector,a short list of questions to get an impression concerning the sector
Institutional Sector Analysis (ISA) Model,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,"provides an overview of institutions affecting a sector, it is complementary to the IOM, but then applied to a network of actors that are active in a sector rather than to an individual organisation.","provides an overview of institutions affecting a sector, it is complementary to the IOM, but then applied to a network of actors that are active in a sector rather than to an individual organisation."
Integrate Organisation Model (IOM),MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,"The IOM model can be applied to describe, analyse and diagnose organisations.","The IOM model can be applied to describe, analyse and diagnose organisations."
Integrated Organisation Model (IOM) Checklist,MDF Training and Consultancy,http://assets.sportanddev.org/downloads/organisation_assessment___iom_checklist.pdf,The IOM checklist is a list for inspiration and suggestions concerning the elements to look into when analysing an organisation in its context. The aim of the checklist is to assist in analysing an organisation from different points of view; it broadens and deepens ones understanding of the situation.,The IOM checklist is a list for inspiration and suggestions concerning the elements to look into when analysing an organisation in its context. The aim of the checklist is to assist in analysing an organisation from different points of view; it broadens and deepens ones understanding of the situation.
Interaction Table,Roberta Tassi,http://www.servicedesigntools.org/tools/37,"The interaction table is a diagram supporting the strategic discussion.
The starting point for its construction is the traditional storyboard describing the interaction step by step (the blueprint); in this case the storyboard should be expanded with descriptions and images till it becomes a total illustration of the service, a representation where all the resources, the competences and the activities are both shown visually and described verbally.","The interaction table is a diagram supporting the strategic discussion.
The starting point for its construction is the traditional storyboard describing the interaction step by step (the blueprint); in this case the storyboard should be expanded with descriptions and images till it becomes a total illustration of the service, a representation where all the resources, the competences and the activities are both shown visually and described verbally."
Interlinked organograms,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,An organogram maps the official hierarchical relationships in an organisation. Interlinking organigrams shows how the hierarchical systems of different organisations connect.,An organogram maps the official hierarchical relationships in an organisation. Interlinking organigrams shows how the hierarchical systems of different organisations connect.
Intervention / Provocation,RCA,http://designingwithpeople.rca.ac.uk/methods/intervention-provocation,"The designer places 2D graphic visualisations or 3D objects within an environment to stimulate discussion and elicit a response from the user. These designed elements take the form of interventions or provocations within the research process, engaging a person’s imagination and encouraging a fuller response in ways that more formal interview and questionnaire techniques cannot achieve.","The designer places 2D graphic visualisations or 3D objects within an environment to stimulate discussion and elicit a response from the user. These designed elements take the form of interventions or provocations within the research process, engaging a person’s imagination and encouraging a fuller response in ways that more formal interview and questionnaire techniques cannot achieve."
Interview,RCA,http://designingwithpeople.rca.ac.uk/methods/interview,The interview process is one of the most common and powerful ways to understand people.  It can be considered the foundation for many of the methods designers use. The predominant form of interviewing is face-to-face and one-to-one.,The interview process is one of the most common and powerful ways to understand people.  It can be considered the foundation for many of the methods designers use. The predominant form of interviewing is face-to-face and one-to-one.
Interview Guide,IDEO,http://www.hcdconnect.org/toolkit/en,The semi-structured interview is a key method of enabling dialogue and deep engagement with participants while retaining focus on a particular topic.,The semi-structured interview is a key method of enabling dialogue and deep engagement with participants while retaining focus on a particular topic.
Interview Techniques,IDEO,http://www.hcdconnect.org/toolkit/en,"Often, what people say they do and what they actually do are not the same thing. So it’s important not just to rely on asking straight forward questions in an interview.","Often, what people say they do and what they actually do are not the same thing. So it’s important not just to rely on asking straight forward questions in an interview."
Interview Techniques (worksheet?),IDEO,http://www.hcdconnect.org/toolkit/en,"(p 65) worksheet - show me, draw it, 5 whys, think aloud","(p 65) worksheet - show me, draw it, 5 whys, think aloud"
interviewing 101,Frog,http://www.frogdesign.com/collective-action-toolkit,"Plan an interview from start to finish, then go into your community and talk with people about issues that matter to them.","Plan an interview from start to finish, then go into your community and talk with people about issues that matter to them."
Interviews,MJV,http://designthinkingbook.co.uk/,"Is a method that seeks through a conversation with the interviewee to obtain information from the questions, context awareness cards, and other techniques","Is a method that seeks through a conversation with the interviewee to obtain information from the questions, context awareness cards, and other techniques"
IOM Checklist,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,"Mission, outputs, inputs, actors, factors, strategy / positve, neutral, problem, unknown","Mission, outputs, inputs, actors, factors, strategy / positve, neutral, problem, unknown"
Issue Management Template,Mind Tools,http://www.mindtools.com/pages/article/newPPM_69.htm,"Since most issues are, by their nature, unexpected, how do you make sure you'll be able to deal with them quickly and effectively? Ideally, you need an issue resolution process in place before you start your project – to make sure that you stay on schedule, and meet your objectives.","Since most issues are, by their nature, unexpected, how do you make sure you'll be able to deal with them quickly and effectively? Ideally, you need an issue resolution process in place before you start your project – to make sure that you stay on schedule, and meet your objectives."
Item labels,roselfeld - Book,http://rosenfeldmedia.com/books/service-design/,"Participants can be given tags or labels with instructions to use them to point out objects within their homes that have particular attributes, such as ""most treasured"" or ""impluse purchase""","Participants can be given tags or labels with instructions to use them to point out objects within their homes that have particular attributes, such as ""most treasured"" or ""impluse purchase"""
Job Scoping,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Job_Scoping_7-1.pdf,Use this to to broaden or narrow your innovation focus to ensure that the innovation opportunity is effectively targeted at an actionable level.,Use this to to broaden or narrow your innovation focus to ensure that the innovation opportunity is effectively targeted at an actionable level.
Job to be Done,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/JTBD_1-2.pdf,"This form helps you determine the human need you are trying to fulfill.  Use it to understand why customers buy products, services and solutions, answering the question: what is the customer's true need?  Do they need to buy a 1/4"" drill bit or a 1/4"" hole?","This form helps you determine the human need you are trying to fulfill.  Use it to understand why customers buy products, services and solutions, answering the question: what is the customer's true need?  Do they need to buy a 1/4"" drill bit or a 1/4"" hole?"
KM Self Assessment,Chris Collison,http://www.chriscollison.com/documents/km_self_assessment.doc,"see how you’re doing against a set of key measure including:
KM Strategy, Leadership Behaviours, Learning Before, During and After, Networking and Capturing Knowledge.","see how you’re doing against a set of key measure including:
KM Strategy, Leadership Behaviours, Learning Before, During and After, Networking and Capturing Knowledge."
Lateral Thinking,RCA,http://designingwithpeople.rca.ac.uk/methods/lateral-thinking,"Designers and users are involved in a series of shared mental activities to provoke new ideas. A useful starting point for this method is to list the sequence of actions in a particular process, then play around with these by removing, reversing or distorting some of them to provoke lateral thinking. Concepts that are generated may be sketched or written by either the designer or user.","Designers and users are involved in a series of shared mental activities to provoke new ideas. A useful starting point for this method is to list the sequence of actions in a particular process, then play around with these by removing, reversing or distorting some of them to provoke lateral thinking. Concepts that are generated may be sketched or written by either the designer or user."
Learning By Doing,"DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,"Learning by doing follows the idea of submerging yourself in the community to better understand the way people perceive and understand things around them. This is an explorative task and does not necessarily focus on any research questions or products, but is an activity designed to make you understand the living in the local community.","Learning by doing follows the idea of submerging yourself in the community to better understand the way people perceive and understand things around them. This is an explorative task and does not necessarily focus on any research questions or products, but is an activity designed to make you understand the living in the local community."
Learning Card,Frog,http://www.frogdesign.com/collective-action-toolkit,Record what your group discovers and map your progress as you use this Toolkit. (* a tool to use alongside the toolkit *),Record what your group discovers and map your progress as you use this Toolkit. (* a tool to use alongside the toolkit *)
Logic Model Builder,Innovation Network,http://www.innonet.org/?module=lmb,"Plan a program: See the connections between resources, activities, and outcomes","Plan a program: See the connections between resources, activities, and outcomes"
Logical Framework,MDF Training and Consultancy,http://assets.sportanddev.org/downloads/logical_framework.pdf,"The Logical Framework is a widely used tool to describe major elements of a project; it gives answers to questions about the why, what and how of a project and also about the who, where and when.","The Logical Framework is a widely used tool to describe major elements of a project; it gives answers to questions about the why, what and how of a project and also about the who, where and when."
Lottery Excercise,Giulia Piu,http://www.businessdesigntools.com/wp-content/uploads/2011/12/02.jpg,"A really powerful way to understand who you are is to imagine how your future would be if, all of a sudden, you would receive a big amount of money.

Marty Neumeir call this exercise ""The Rich Uncle"" exercise. In his version of the exercise he uses it to investigate what motivate a person to work.","A really powerful way to understand who you are is to imagine how your future would be if, all of a sudden, you would receive a big amount of money.

Marty Neumeir call this exercise ""The Rich Uncle"" exercise. In his version of the exercise he uses it to investigate what motivate a person to work."
Mechanisms of challenge checklist,Australian Govt,http://innovation.govspace.gov.au/tools/mechanism-of-challenge/,"A mechanism of challenge refers to processes or mechanisms that allow issues or problems within an organisation to be identified and challenged. In an innovation context, it refers to being able to challenge processes or policies that may be stopping an innovative idea of merit from being investigated, tried or implemented.","A mechanism of challenge refers to processes or mechanisms that allow issues or problems within an organisation to be identified and challenged. In an innovation context, it refers to being able to challenge processes or policies that may be stopping an innovative idea of merit from being investigated, tried or implemented."
Method Cards,MindLab,http://www.mind-lab.dk/assets/125/method_cards.zip,12 Method Cards to guide one in rethinking activitiy,12 Method Cards to guide one in rethinking activitiy
Mind Map,Giulia Piu,http://www.businessdesigntools.com/2012/05/mind-map/,Mind Map is a tool used to visualise thoughts and ideas generated and make connections between them. It allows presenting ideas in a visual and non-linear way and grouping them into clusters. A Mind Map begins with and initial ideas (positioned at the centre of the page) and then develops into a series of 'branches' populated with words and drawing that expands the initial concept.,Mind Map is a tool used to visualise thoughts and ideas generated and make connections between them. It allows presenting ideas in a visual and non-linear way and grouping them into clusters. A Mind Map begins with and initial ideas (positioned at the centre of the page) and then develops into a series of 'branches' populated with words and drawing that expands the initial concept.
Mobile ethnography,This is Service Design Thinking,http://thisisservicedesignthinking.com/,Ethnographic research that takes place independently of geography,Ethnographic research that takes place independently of geography
Objective tree,ILO,http://www.ilo.org/public/english/employment/ent/coop/africa/download/coopafricaprojectdesignmanual.pdf,A step-by step tpp; tp support the development of cooperatives and other forms of self-help organisations,A step-by step tpp; tp support the development of cooperatives and other forms of self-help organisations
Observation,Design Council,http://www.designcouncil.org.uk/about-design/how-designers-work/design-methods/,"Observation is a design method to identify the problems that can arise when people interact with products, services and environments.","Observation is a design method to identify the problems that can arise when people interact with products, services and environments."
Observation & Shadowing,RCA,http://designingwithpeople.rca.ac.uk/methods/observation-shadowing,Designers carefully observe real-life situations for a set amount of time to understand how people behave within a given context. This method can help to uncover the reality of what people really do – as opposed to what they say they do.,Designers carefully observe real-life situations for a set amount of time to understand how people behave within a given context. This method can help to uncover the reality of what people really do – as opposed to what they say they do.
Observe vs. Interpret,IDEO,http://www.hcdconnect.org/toolkit/en,"This exercise helps us differentiate between observation and interpretation of what we see, revealing our biases and lenses through which we view the world.","This exercise helps us differentiate between observation and interpretation of what we see, revealing our biases and lenses through which we view the world."
Offering Map,Roberta Tassi,http://www.servicedesigntools.org/tools/38,"The aim of an offering map is to describe in a synthetic way what the service offers to its users.
There is not a standard format for this tool: the offering could be described by words or could be illustrated by images, but most frequently it is visualized through a graph.
This instrument could support the elaboration of the service idea as well the development of some specific solutions, it could be a tool for the implementation of the concept but also for the communication of the service to the final user. In each one of these situations, the offering map will assume different configurations and languages with reference to the specific aims and receivers involved.","The aim of an offering map is to describe in a synthetic way what the service offers to its users.
There is not a standard format for this tool: the offering could be described by words or could be illustrated by images, but most frequently it is visualized through a graph.
This instrument could support the elaboration of the service idea as well the development of some specific solutions, it could be a tool for the implementation of the concept but also for the communication of the service to the final user. In each one of these situations, the offering map will assume different configurations and languages with reference to the specific aims and receivers involved."
Organisational Learning Cycle,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,"The organisational learning cycle (inspired by Kolb's adult learning cycle) shows the processes involved in learning and change, in terms of content and process or attitude.","The organisational learning cycle (inspired by Kolb's adult learning cycle) shows the processes involved in learning and change, in terms of content and process or attitude."
Organising for innovation checklist,Australian Govt,http://innovation.govspace.gov.au/tools/organising-for-innovation/,information for those who have been given responsibility for developing an innovation strategy or initiative for their organisation.,information for those who have been given responsibility for developing an innovation strategy or initiative for their organisation.
"Organizational Capacity 
Assessment Tool (OCAT)",Mckinsey / VPP,http://www.vppartners.org/learning/reports/capacity/assessment.pdf,"The OCAT was designed to help nonprofits assess their organizational capacity. Ten years ago, McKinsey and Venture Philanthropy Partners developed the tool to help nonprofits better assess their operational capacity and identify areas that need improvement. It allows nonprofits to rate themselves across a range of critical areas, including vision, strategy, organizational health and human resources.","The OCAT was designed to help nonprofits assess their organizational capacity. Ten years ago, McKinsey and Venture Philanthropy Partners developed the tool to help nonprofits better assess their operational capacity and identify areas that need improvement. It allows nonprofits to rate themselves across a range of critical areas, including vision, strategy, organizational health and human resources."
Outcome Expectations,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Outcome_Expectations_2-1.pdf,"Figure out how to give customers more of what they desire.  This is directly tied to Job-to-be-done (JTBD), to determine what the value is to customers.","Figure out how to give customers more of what they desire.  This is directly tied to Job-to-be-done (JTBD), to determine what the value is to customers."
Participant observation or shadowing,Roselfeld - Book,http://rosenfeldmedia.com/books/service-design/,"Participant observation or shadowing, provides rich, in-depth, and accurate insights into how people useproducts, processes, and procedures","Participant observation or shadowing, provides rich, in-depth, and accurate insights into how people useproducts, processes, and procedures"
Participation - Becoming the user,Roselfeld - Book,http://rosenfeldmedia.com/books/service-design/,Participation is a very involved but enlightening way to gain user insights,Participation is a very involved but enlightening way to gain user insights
Participatory Design Game,RCA,http://designingwithpeople.rca.ac.uk/methods/participatory-design-game,A prototyping kit that enables participants to express their needs and preferences through the actions of a board game.,A prototyping kit that enables participants to express their needs and preferences through the actions of a board game.
Partner research,Butterfly Works,http://www.butterflyworks.org/content/25652/co-creation_method,"Along with learning more about our existing partners, we work to identify partners that can fill gaps in expertise, such as bloggers, illustrators, and web or mobile programmers.","Along with learning more about our existing partners, we work to identify partners that can fill gaps in expertise, such as bloggers, illustrators, and web or mobile programmers."
pattern quest,Frog,http://www.frogdesign.com/collective-action-toolkit,"Dive deeper into what group members discovered in their interviews, identifying the deeper reasons behind issues people struggle with in your community.","Dive deeper into what group members discovered in their interviews, identifying the deeper reasons behind issues people struggle with in your community."
People and training,Australian Govt,http://innovation.govspace.gov.au/tools/people-and-training/,"People and training are key factors in supporting the innovation process. The types of people available, their skills, and their exposure to innovation are important in building and fostering an organisation’s innovation strengths.","People and training are key factors in supporting the innovation process. The types of people available, their skills, and their exposure to innovation are important in building and fostering an organisation’s innovation strengths."
Performance Perception Expectations,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Performance_Perception_Expectations_30-1.xls,Identify what customers want in your solution.  Use this tool to understand and articulate the performance and perception expectations from the customer's point of view.,Identify what customers want in your solution.  Use this tool to understand and articulate the performance and perception expectations from the customer's point of view.
Persona,RCA,http://designingwithpeople.rca.ac.uk/methods/persona,"Personas are imaginary characters – based on real people – that represent user archetypes. They are developed to understand user lifestyles, aspirations and needs, and often appear in scenarios as fictional players.","Personas are imaginary characters – based on real people – that represent user archetypes. They are developed to understand user lifestyles, aspirations and needs, and often appear in scenarios as fictional players."
Personas,Roberta Tassi,http://www.servicedesigntools.org/tools/40,"The personas are archetypes built after a preceding exhaustive observation of the potential users.
Each persona is based on a fictional character whose profile gathers up the features of an existing social group. In this way the personas assume the attributes of the groups they represent: from their social and demographic characteristics, to their own needs, desires, habits and cultural backgrounds.","The personas are archetypes built after a preceding exhaustive observation of the potential users.
Each persona is based on a fictional character whose profile gathers up the features of an existing social group. In this way the personas assume the attributes of the groups they represent: from their social and demographic characteristics, to their own needs, desires, habits and cultural backgrounds."
Personas,MJV,http://designthinkingbook.co.uk/,Personas are fictitious characters created to generate and validate ideas. They are created from the synthesis of meaningful behaviors observed during a field research. Do you want to know more? Click and watch the explanatory video.,Personas are fictitious characters created to generate and validate ideas. They are created from the synthesis of meaningful behaviors observed during a field research. Do you want to know more? Click and watch the explanatory video.
Personas,This is Service Design Thinking,http://thisisservicedesignthinking.com/,"Fictional profiles, often developed as a way of representing a particular group based on their shared interests","Fictional profiles, often developed as a way of representing a particular group based on their shared interests"
Personas,Giulia Piu,http://www.businessdesigntools.com/2011/12/personas/,"Personas are hypothetical archetypes of potential customers that aim at representing them throughout the design process and guide the development of a product or service. They are the outcome of rigorous market and design research with real people, using techniques such as interviews, contextual inquiry, focus groups, surveys. The aim of Personas is to help synthesize the research findings in order to help the design team understand the characteristics and needs of the people they are designing for. They also help the team empathise with the . As Kim Goodwin (2009) points out Personas are storytelling devices that use ""storytelling to engage the social and emotional aspects of our brains, which helps each team member either visualize the best product behaviour or see why the recommended design is good"" (p.229)","Personas are hypothetical archetypes of potential customers that aim at representing them throughout the design process and guide the development of a product or service. They are the outcome of rigorous market and design research with real people, using techniques such as interviews, contextual inquiry, focus groups, surveys. The aim of Personas is to help synthesize the research findings in order to help the design team understand the characteristics and needs of the people they are designing for. They also help the team empathise with the . As Kim Goodwin (2009) points out Personas are storytelling devices that use ""storytelling to engage the social and emotional aspects of our brains, which helps each team member either visualize the best product behaviour or see why the recommended design is good"" (p.229)"
Plot an  outcome matrix,Lucy Kimbell and Joe Julier,http://www.lucykimbell.com/stuff/Fieldstudio_SocialDesignMethodsMenu.pdf,"To help a group define and agree on the target groups they want to focus on or work with, and the outcomes the venture, service or product might have on their lives.
To make explicit links between the different people you want to work with or engage, and the impact your venture, service or product might have on their lives.","To help a group define and agree on the target groups they want to focus on or work with, and the outcomes the venture, service or product might have on their lives.
To make explicit links between the different people you want to work with or engage, and the impact your venture, service or product might have on their lives."
Priority Board,Giulia Piu,http://www.businessdesigntools.com/2012/03/priority-board/,"The Priority Board aim at understanding how people value products/services/functionalities.

In order to help participants prioritise their needs but also to open new path for innovation, it is really important to firstly make them aware of all the oportunities out there using for example ""Learning Cards"", cards that explain them what is be possible today. Secondly users need to make decisions on which products/services/functionalities they consider more valuable by positioning them on a table with limited space and numbers.","The Priority Board aim at understanding how people value products/services/functionalities.

In order to help participants prioritise their needs but also to open new path for innovation, it is really important to firstly make them aware of all the oportunities out there using for example ""Learning Cards"", cards that explain them what is be possible today. Secondly users need to make decisions on which products/services/functionalities they consider more valuable by positioning them on a table with limited space and numbers."
Probe cameras,roselfeld - Book,http://rosenfeldmedia.com/books/service-design/,"A disposable camara is an essential part of a cultural probe kit. A camera can be given to a user with a list of instructions about what to photograph, sometimes with a request to write a accompanying","A disposable camara is an essential part of a cultural probe kit. A camera can be given to a user with a list of instructions about what to photograph, sometimes with a request to write a accompanying"
Problem and situational analysis,DFID,http://portals.wi.wur.nl/files/docs/ppme/toolsfordevelopment1_DFID.pdf,"Problem and Situational Analysis helps to determine real - as opposed to apparent - development needs. In addition,
it helps to bond programme participants together by identifying a variety of issues that may need to be dealt with, such as the roles of different partners in resolving those issues, or the timescale and resources needed to achieve a given solution.","Problem and Situational Analysis helps to determine real - as opposed to apparent - development needs. In addition,
it helps to bond programme participants together by identifying a variety of issues that may need to be dealt with, such as the roles of different partners in resolving those issues, or the timescale and resources needed to achieve a given solution."
Problem Area Matrix,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,A problem area matrix is a tool to determine where there are problems in the sector. It reveals where the sector does not provide what the target groups needs.,A problem area matrix is a tool to determine where there are problems in the sector. It reveals where the sector does not provide what the target groups needs.
Problem Definition,Lucy Kimbell and Joe Julier,http://www.lucykimbell.com/stuff/Fieldstudio_SocialDesignMethodsMenu.pdf,"To narrow down from a rich picture about complex interconnected issues, towards a key issue which could be improved upon.","To narrow down from a rich picture about complex interconnected issues, towards a key issue which could be improved upon."
Problem Definition,Lucy Kimbell and Joe Julier,http://www.lucykimbell.com/stuff/Fieldstudio_SocialDesignMethodsMenu.pdf,￼￼￼￼Use this to find and define the issue,￼￼￼￼Use this to find and define the issue
Problem tree,ILO,http://www.ilo.org/public/english/employment/ent/coop/africa/download/coopafricaprojectdesignmanual.pdf,A step-by step tpp; tp support the development of cooperatives and other forms of self-help organisations,A step-by step tpp; tp support the development of cooperatives and other forms of self-help organisations
Problem Tree Analysis,MDF Training and Consultancy,http://assets.sportanddev.org/downloads/problem_tree_analysis.pdf,"The Problem Tree method is a planning method based on needs, however it is not a mechanical translation of problems into objectives. While going through the process, taking the different steps, there is continuously room for opportunities, new ideas and contributions from the involved parties.","The Problem Tree method is a planning method based on needs, however it is not a mechanical translation of problems into objectives. While going through the process, taking the different steps, there is continuously room for opportunities, new ideas and contributions from the involved parties."
Procurement and outsourced services,Australian Govt,http://innovation.govspace.gov.au/tools/procurement-and-outsourced-services/,Procurement processes can be a very effective means to encourage innovation if they are designed and implemented with that aim in mind.,Procurement processes can be a very effective means to encourage innovation if they are designed and implemented with that aim in mind.
Product in Market,"DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,"Selling the product literally means that you sell your product or put it up for sale to get an immediate response from potential buyers. The activity generates important knowledge, not just in relation to consumer feedback, but also from shop owners, as they will let you know whether there is a market for your product or service.","Selling the product literally means that you sell your product or put it up for sale to get an immediate response from potential buyers. The activity generates important knowledge, not just in relation to consumer feedback, but also from shop owners, as they will let you know whether there is a market for your product or service."
Proposition,Lucy Kimbell and Joe Julier,http://www.lucykimbell.com/stuff/Fieldstudio_SocialDesignMethodsMenu.pdf,Use this to summarise your vision of the offering for your users or customers,Use this to summarise your vision of the offering for your users or customers
Quality Definition Chart,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,The quality defination chart assists in defining quality of a product or service from the target group/customer perspective,The quality defination chart assists in defining quality of a product or service from the target group/customer perspective
Quantative Surveys,Design Council,http://www.designcouncil.org.uk/about-design/how-designers-work/design-methods/,Quantitative surveys is a design method to understand the 'big picture' and provide you with statistics that can help to inform the direction of your project.,Quantitative surveys is a design method to understand the 'big picture' and provide you with statistics that can help to inform the direction of your project.
Quick Scan,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,A Quick scan is a way of getting a quick impression of the most relevant features of an organisation.,A Quick scan is a way of getting a quick impression of the most relevant features of an organisation.
Ranking Values,"DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,"Ranking values can be used to understand how people perceive the characteristics of products when they must prioritize them. This approach is very useful for creating a platform for dialogue. The exercise could state something that is obvious, whereas people’s real opinion is revealed in the subsequent dialogue.","Ranking values can be used to understand how people perceive the characteristics of products when they must prioritize them. This approach is very useful for creating a platform for dialogue. The exercise could state something that is obvious, whereas people’s real opinion is revealed in the subsequent dialogue."
Rapid Market Assessment,"DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,"The 16 rapid market assessment will give an overall estimate of how to proceed with the project, as it will provide you with the knowledge and information you need in the decision-making process.","The 16 rapid market assessment will give an overall estimate of how to proceed with the project, as it will provide you with the knowledge and information you need in the decision-making process."
Real Play,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,workshop in which users are invited to play and build with various materials such as toy blocks.,workshop in which users are invited to play and build with various materials such as toy blocks.
Recognize Existing Knowledge,IDEO,http://www.hcdconnect.org/toolkit/en,"Conducting a “What Do We Know?” session helps call forth existing knowledge
related to the Design Challenge.","Conducting a “What Do We Know?” session helps call forth existing knowledge
related to the Design Challenge."
Recruiting Plan,IDEO,http://www.hcdconnect.org/toolkit/en,(p 157) Keeping track of the people you speak with can also be challenging. use the worksheets to help keep a list of who you have spoken with and who,(p 157) Keeping track of the people you speak with can also be challenging. use the worksheets to help keep a list of who you have spoken with and who
Reframing,MJV,http://designthinkingbook.co.uk/,"It is an examination of a company's unsolved problems and issues from different perspectives and numerous angles, making it possible to deconstruct beliefs and assumptions of the players (stakeholders)","It is an examination of a company's unsolved problems and issues from different perspectives and numerous angles, making it possible to deconstruct beliefs and assumptions of the players (stakeholders)"
